order_id,customer_id,product_id,product_name,category,price,quantity,order_timestamp,country
ORD-000001,CUST-10001,PROD-501,iPhone 15 Pro Max,Electronics,1199.99,1,2024-01-15 09:23:45,United States
ORD-000002,CUST-10002,PROD-502,Samsung Galaxy S24,Electronics,899.99,2,2024-01-15 09:45:12,Canada
ORD-000003,CUST-10003,PROD-601,Nike Air Max 270,Footwear,150.00,1,2024-01-15 10:12:33,United Kingdom
ORD-000004,CUST-10004,PROD-701,Levi's 501 Jeans,Apparel,79.99,3,2024-01-15 10:34:56,Germany
ORD-000005,CUST-10005,PROD-801,Sony WH-1000XM5,Electronics,349.99,1,2024-01-15 11:05:22,France
ORD-000006,CUST-10001,PROD-503,MacBook Pro 16",Electronics,2499.99,1,2024-01-15 11:23:45,United States
ORD-000007,CUST-10006,PROD-602,Adidas Ultraboost,Footwear,180.00,2,2024-01-15 11:45:00,Australia
ORD-000008,CUST-10007,PROD-702,Ralph Lauren Polo,Apparel,89.99,4,2024-01-15 12:10:15,Japan
ORD-000009,CUST-10008,PROD-901,Dyson V15 Detect,Home & Garden,749.99,1,2024-01-15 12:30:45,United States
ORD-000010,CUST-10009,PROD-902,iRobot Roomba j7+,Home & Garden,599.99,1,2024-01-15 13:00:00,Canada
ORD-000011,CUST-10010,PROD-504,iPad Pro 12.9",Electronics,1099.99,1,2024-01-15 13:25:30,United Kingdom
ORD-000012,CUST-10011,PROD-603,New Balance 990v5,Footwear,185.00,1,2024-01-15 13:45:00,Germany
ORD-000013,CUST-10012,PROD-703,Tommy Hilfiger Jacket,Apparel,199.99,2,2024-01-15 14:10:22,France
ORD-000014,CUST-10013,PROD-505,Dell XPS 15,Electronics,1799.99,1,2024-01-15 14:35:45,Australia
ORD-000015,CUST-10014,PROD-903,Ninja Foodi Grill,Home & Garden,229.99,1,2024-01-15 15:00:00,Japan
ORD-000016,CUST-10015,PROD-604,Puma RS-X,Footwear,110.00,2,2024-01-15 15:25:15,United States
ORD-000017,CUST-10016,PROD-704,Calvin Klein T-Shirt,Apparel,49.99,5,2024-01-15 15:45:30,Canada
ORD-000018,CUST-10017,PROD-506,AirPods Pro 2,Electronics,249.99,2,2024-01-15 16:10:00,United Kingdom
ORD-000019,CUST-10018,PROD-904,KitchenAid Mixer,Home & Garden,449.99,1,2024-01-15 16:35:22,Germany
ORD-000020,CUST-10019,PROD-605,Reebok Classic,Footwear,85.00,3,2024-01-15 17:00:45,France
ORD-000021,CUST-10020,PROD-705,Zara Dress,Apparel,69.99,2,2024-01-16 08:15:00,Australia
